#diagnose;medicament
chronic_knee_pain;etodolac,sodium hyaluronate,diflunisal,salsalate,flurbiprofen
chronic_knee_pain;diflunisal,salsalate,hyaluronan,choline
chronic_knee_pain;sodium hyaluronate,febuxostat,flurazepam
osteoarthritis;celecoxib,cortisone,mepivacaine
osteoarthritis;meloxicam,cortisone,piroxicam
osteoarthritis;piroxicam,chondroitin,bupivacaine
spinal_stenosis;carisoprodol,iohexol,diclofencac topical product
spinal_stenosis;iohexol,iopamidol,moexipril,chlorzoxazone,trimethadione
spinal_stenosis;iohexol,moexipril
sprain_or_strain_arm;cyclobenzaprine,methocarbamol,metaxolone
sprain_or_strain_arm;metaxolone,diflunisal,ketoprofen,orphenadrine
sprain_or_strain_hand;orphenadrine,diflunisal,ketoprofen
brachial_neuritis;carisoprodol,metaxalone,piroxicam,mefloquine
brachial_neuritis;oxymorphone,mefloquine
brachial_neuritis;metaxalone,piroxicam,mefloquine
brachial_neuritis;quinine,bilberry extract,flurazepam
injury_to_the_shoulder;cortisone,mepivacaine,methohexital,daunorubicin
fracture_of_the_hand;carteolol,disopyramide,magnesium_amino_acid_chelate
fracture_of_the_arm;ketamine,flumazenil,methohexital,carboprost,digitoxin,fluorides,fenoprofen,plasma_protein_fraction
fracture_of_the_arm;methohexital,carboprost,fluorides,fenoprofen,imipenem
fracture_of_the_arm;flumazenil,digitoxin,nesiritide,tenecteplase
fracture_of_the_ankle;potassium_bicarbonate,flumazehil,butalbital
fracture_of_the_leg;darifenacin,guanfacine,vitamin_k1,dalteparin,lvp_solution,fonaparinux,dronedarone,plasma_protein_fraction
fracture_of_the_leg;guanfacine,vitamin_k1,daunoribricin,alfentanil
fracture_of_the_foot;hyaluronidase,deferoxamine,diflorasone_topical,oxacilin

